Resultados da calibração de um modelo com 3 parâmetros. Com 20 pontos de quadratura utilizados na estimação e parâmetros na escala logística.


            Dscrmn      Dffclt       Gussng
MT...1   1.4576389  2.30876094 0.1550399776
MT...2   2.3144964  2.67811945 0.1813138048
MT...3   1.3562827  0.20149672 0.0812678377
MT...4   1.8232878 -0.41919676 0.1188304099
MT...5   2.8722448  1.22861176 0.1930335562
MT...6   3.4067785  2.33480164 0.1699367241
MT...7   3.4862394  1.20657497 0.1811957846
MT...8   3.1432760  2.47272261 0.1289015867
MT...9   2.7796065  1.37401759 0.2138028039
MT...10  3.0687782  0.89396526 0.1713362790
MT...11  3.1061112  1.98664466 0.2010984499
MT...12  3.2512326  2.15938680 0.1991115033
MT...13  1.7667867  0.64839010 0.1412863722
MT...14  2.2487418  0.58923420 0.1499801608
MT...15  2.3770464  1.79723880 0.2810361667
MT...16  1.2257407 -1.63093790 0.0042681276
MT...17  0.5694069  0.57103198 0.0039927810
MT...18  0.8751167  1.29489272 0.1195367643
MT...19  2.6313818  3.16420958 0.1687896554
MT...20  1.3890105 -0.46134786 0.0002754519
MT...21  4.0744247  2.28154365 0.1556905212
MT...22  4.6503182  1.67543050 0.1623934027
MT...23  2.1488482  1.43748087 0.1501172023
MT...24  2.5941558  0.45977224 0.2164709482
MT...25  2.5144725  0.99412969 0.1573233516
MT...26  4.3351373  2.76377707 0.1314746459
MT...27  2.4246323  1.13874918 0.1381704049
MT...28  1.5666696 -0.48387088 0.0879466504
MT...29  1.5209848  1.76678834 0.1067557276
MT...30  2.7906632  2.53391223 0.1280163867
MT...31  2.2193243  1.30676337 0.1322429085
MT...32  2.0576517 -0.02706952 0.0693266038
MT...33  1.6599574  2.47866153 0.1974366377
MT...34  1.6737689  0.93714247 0.2781988679
MT...35  1.5337499  0.09319095 0.1154171354
MT...36  1.7349226  0.42245670 0.2084371074
MT...37  3.1582370  1.59897723 0.2556865366
MT...38  1.8483932  1.24534929 0.2862870411
MT...39  2.6057616  0.48266165 0.1309878857
MT...40  0.5512823  0.45419888 0.0017583217
MT...41  2.6391811  2.01208963 0.1968816141
MT...42  2.5800743  1.22075031 0.1079590296
MT...43  3.0958380  2.02554047 0.2514263776
MT...44  1.8853411 -0.13331050 0.1028132112
