          Dscrmn      Dffclt      Gussng
MT...1    1.2179780  4.97183752  0.1759857237
MT...2    1.4803687  6.20610285  0.1837110966
MT...3    1.0894109  1.55230069  0.3331945837
MT...4    1.2252495  -0.02352304  0.4786593318
MT...5    1.2011133  2.84852600  0.2075356394
MT...6    1.7620934  5.54815340  0.1699404866
MT...7    1.3603094  2.92634416  0.2063102573
MT...8    1.6819754  5.73632622  0.1286266446
MT...9    1.4991293  3.59330702  0.2455567420
MT...10   1.2698219  1.89782286  0.2102006376
MT...11   1.5648804  5.10311222  0.2057109922
MT...12   1.8652445  5.36004877  0.2050733268
MT...13   1.1230137  1.86481190  0.2640003264
MT...14   1.1334766  1.44338775  0.2576100230
MT...15   1.8684605  4.54738045  0.3063822687
MT...16   1.1245868  0.05694786  0.7282347679
MT...17   1.0255743  4.34198093  0.3567059934
MT...18   0.1103733  -7.25391340  0.3582510054
MT...19   1.4503969  6.51588011  0.1640006751
MT...20   1.0939867  0.72672141  0.4446416795
MT...21   0.1346980  -6.91398239  0.1683926135
MT...22   1.5404648  4.28319407  0.1660861373
MT...23   1.2033257  3.54194140  0.1838703305
MT...24   1.2438385  0.94799447  0.3137275577
MT...25   1.1559211  2.27614212  0.1970804334
MT...26   1.7469273  6.26289606  0.1285308450
MT...27   1.1267719  2.62585759  0.1708323956
MT...28   0.1060149  -6.92341661  0.6577645540
MT...29   1.1940026  4.45627832  0.1598183066
MT...30   0.1394417  -6.84155464  0.1389141828
MT...31   1.2471124  3.25320172  0.1754905879
MT...32   1.3108690  0.44964111  0.3446875811
MT...33   1.3229921  5.41029549  0.2104057074
MT...34   1.0995545  2.62746024  0.3626011610
MT...35   1.2050717  1.21326756  0.3830049932
MT...36   1.4907031  1.94255054  0.3950293660
MT...37   1.4897932  4.05467463  0.2691557109
MT...38   1.5252836  3.60544968  0.3631523848
MT...39   0.0920650  -7.06520128  0.4288693964
MT...40   0.9257393  3.69463372  0.3314045966
MT...41   0.1354051  -7.27012968  0.2346238047
MT...42   0.0954684  -7.20813847  0.2481510639
MT...43   1.5748838  4.97621012  0.2549813092
MT...44   1.1447420  0.10857278  0.3719315827
MT...45   1.0193908  4.11344624  0.2161609083
