          Dscrmn      Dffclt      Gussng
CN...1    0.3876048  -4.99449968  0.2368556559
CN...2    0.2354427  -3.89573073  0.2509860694
CN...3    0.3384735  -3.61244917  0.5994423628
CN...4    0.1359637  -4.07399035  0.3242305815
CN...5    0.2419734  -5.54863834  0.2584878206
CN...6    0.1973272  -4.38581610  0.2395308465
CN...7    0.3381852  -4.50870514  0.1655063182
CN...8    0.2420573  -4.18138409  0.2566551864
CN...9    1.1844774  9.02954292  0.1798726320
CN...10   0.1884625  -4.26798153  0.6034756899
CN...11   0.2645109  -4.47430229  0.3840700090
CN...12   0.1496895  -4.95887899  0.2917686105
CN...13   0.1157087  -5.03212881  0.2450281084
CN...14   0.2942279  -3.95789385  0.2055299133
CN...15   0.1958792  -3.78012204  0.3933310807
CN...16   0.3510417  -3.34264350  0.3909043372
CN...17   0.2658880  -6.19846773  0.1786403656
CN...18   0.1856679  -4.87970400  0.2643666267
CN...19   0.2704077  -5.03118849  0.2254775465
CN...20   0.2624166  -6.55951452  0.0658979118
CN...21   0.3458621  -4.23476839  0.1572287083
CN...22   0.1522061  -5.97842550  0.1270561516
CN...23   0.3943229  -4.03025103  0.2433098406
CN...24   0.2501155  -4.05040455  0.2394270152
CN...25   0.2738567  -6.19682598  0.1503965110
CN...26   0.3286089  -4.22391748  0.1879628450
CN...27   0.2770846  -5.96665525  0.1701629609
CN...28   0.2210127  -4.40472174  0.1968316585
CN...29   0.1071617  -5.11194324  0.1932682395
CN...30   0.3620983  -4.74727201  0.2610709369
CN...31   0.2256127  -4.94129753  0.6845332980
CN...32   0.2688174  -3.68362284  0.3922971785
CN...33   0.3100252  -3.58094096  0.4108643830
CN...34   0.2812747  -5.26984024  0.3669676185
CN...35   0.1348612  -4.54290962  0.3498504758
CN...36   0.2355385  -3.84485388  0.5851129889
CN...37   0.2989258  -4.72341967  0.3466210067
CN...38   0.2785621  -5.46978188  0.2717093825
CN...39   0.2208184  -6.15728331  0.2380436063
CN...40   0.1262377  -4.90258789  0.2795166075
CN...41   0.3701410  -3.49764967  0.3014537692
CN...42   0.4040800  -4.09022665  0.2336338311
CN...43   0.2668302  -6.63893652  0.1595273614
CN...44   0.3232406  -5.23443079  0.1462572664
CN...45   0.2276049  -5.36906910  0.1394798458
