          Dscrmn      Dffclt      Gussng
CH...1    1.1652426  2.61234355  0.4644706845
CH...2    2.6939392  5.04613590  0.2311920077
CH...3    0.2512366  -7.93013382  0.2368577272
CH...4    1.1216085  2.28449106  0.3453336954
CH...5    1.4629050  4.39448547  0.3646225333
CH...6    1.0884699  2.80713654  0.3252958953
CH...7    1.1543800  2.57208729  0.5659144521
CH...8    1.3308495  4.80616188  0.0844367966
CH...9    0.9599789  3.94973326  0.2847688496
CH...10   1.1235955  3.28898144  0.3181530237
CH...11   1.0512913  2.13487482  0.6589587331
CH...12   1.0947500  1.63250697  0.3484096229
CH...13   0.2140537  -7.61035872  0.3192765117
CH...14   1.2495571  5.05249453  0.1832196862
CH...15   1.1333910  2.03393531  0.6160720587
CH...16   1.2115636  2.36133766  0.3882221282
CH...17   1.1746022  1.47580671  0.4801721871
CH...18   1.3737878  3.59042382  0.3067042232
CH...19   0.2613715  -7.40640640  0.2492531836
CH...20   1.2409753  4.56209517  0.1940715462
CH...21   1.2368914  3.97262502  0.3156706095
CH...22   2.0050297  3.99416566  0.2470767647
CH...23   1.0689974  4.11337948  0.5632451177
CH...24   1.0050838  1.89436209  0.6323043108
CH...25   1.0285486  2.02401900  0.3803045154
CH...26   1.9973513  6.54586029  0.1806176752
CH...27   1.0448488  3.01492786  0.3093487024
CH...28   2.4344041  5.15368605  0.2219955027
CH...29   1.9491687  5.11372709  0.2346154600
CH...30   0.2981936  -6.74168682  0.5224047899
CH...31   1.1301214  2.58371782  0.6786078811
CH...32   1.3311114  3.49861002  0.4559944868
CH...33   1.1060640  2.12913918  0.3431089818
CH...34   3.0428150  6.72737741  0.2539574802
CH...35   1.0235944  2.55223513  0.4654507339
CH...36   1.7112585  6.25644827  0.2156573385
CH...37   1.3667840  4.86733103  0.2246236950
CH...38   0.2254893  -7.44535065  0.4115296006
CH...39   2.4271700  4.50812483  0.2763539255
CH...40   1.6133606  5.87559652  0.2993511260
CH...41   1.0675040  3.19151759  0.2768036723
CH...42   1.2228289  1.93429470  0.4522353113
CH...43   2.0932093  5.99589777  0.3304492831
CH...44   1.1460789  1.22366083  0.6184155941
CH...45   0.2952140  -7.87929249  0.2345399112
