          Dscrmn      Dffclt      Gussng
LC...1    0.2683923  -6.64531851  0.5038025379
LC...2    0.4374359  -5.27514648  0.3028722405
LC...3    1.0962338  7.05293083  0.2668901682
LC...4    0.4719895  -3.68235993  0.5598366261
LC...5    0.4625612  -7.60832930  0.1737372726
LC...6    0.2283487  -4.63168812  0.7453238368
LC...7    0.4476107  -5.46000957  0.3062375486
LC...8    0.5049047  -5.05157042  0.4168867171
LC...9    0.4421531  -5.67484999  0.2684643865
LC...10   0.4460854  -3.77697611  0.8233564496
LC...11   0.4231993  -4.33647108  0.5596906543
LC...12   0.4680212  -6.92491770  0.2301829755
LC...13   0.5044466  -7.47142792  0.3767665029
LC...14   0.4161484  -4.70445347  0.3978686929
LC...15   0.4428995  -4.73392773  0.5800923109
LC...16   0.2261787  -5.90236521  0.2527554035
LC...17   0.5056273  -4.63221264  0.5230853558
LC...18   0.4822136  -6.02102995  0.3052786887
LC...19   0.4725657  -5.73689175  0.3623165488
LC...20   0.4333022  -5.86840153  0.2663967609
LC...21   0.4994957  -6.75351429  0.2787081897
LC...22   0.4149368  -7.65635109  0.1544934213
LC...23   0.4520804  -5.79378366  0.2223028839
LC...24   0.3704039  -5.88745546  0.6253380179
LC...25   0.4608830  -4.40950680  0.4226236045
LC...26   0.2428840  -5.71831512  0.3617312312
LC...27   0.4820308  -4.35253286  0.5385872722
LC...28   0.4617724  -5.91700745  0.2369443476
LC...29   0.4081399  -7.05591202  0.2886468172
LC...30   0.3988084  -6.88441133  0.3883745670
LC...31   0.3932310  -6.54873896  0.1436057687
LC...32   0.4528463  -4.49215555  0.3288891315
LC...33   1.0828347  8.27448368  0.4462818503
LC...34   0.5002658  -5.81080437  0.3312979639
LC...35   0.4594732  -4.25485373  0.5597822666
